"id","ciclo","data_ciclo_atual","data_ultimo_ciclo","notificacoes","time_stamp","crecimento_entity_id","fim_entity_id","floracao_entity_id","frutificacao_entity_id","germinacao_entity_id","maturacao_entity_id","muda_entity_id"
15,MATURACAO,2025-05-21,2025-05-15,{},2025-05-21 14:02:41.453,15,15,15,15,15,15,15
1,MATURACAO,2025-05-15,2025-05-15,{},2025-05-15 19:25:25.398,1,1,1,1,1,1,1
2,CRESCIMENTO,2025-05-15,2025-05-15,{},2025-05-15 19:28:30.479,2,2,2,2,2,2,2
3,CRESCIMENTO,2025-05-15,2025-05-15,{},2025-05-15 19:29:16.763,3,3,3,3,3,3,3
4,MUDA,2025-05-15,2025-05-15,{},2025-05-15 19:29:59.842,4,4,4,4,4,4,4
5,CRESCIMENTO,2025-05-15,2025-05-15,{},2025-05-15 19:30:33.824,5,5,5,5,5,5,5
6,CRESCIMENTO,2025-05-15,2025-05-15,{},2025-05-15 19:31:11.271,6,6,6,6,6,6,6
7,FRUTIFICACAO,2025-05-15,2025-05-15,{},2025-05-15 19:31:57.290,7,7,7,7,7,7,7
8,FLORACAO,2025-05-15,2025-05-15,{},2025-05-15 19:32:37.555,8,8,8,8,8,8,8
10,FRUTIFICACAO,2025-05-15,2025-05-15,{},2025-05-15 19:34:53.328,10,10,10,10,10,10,10
11,FRUTIFICACAO,2025-05-15,2025-05-15,{},2025-05-15 19:35:34.242,11,11,11,11,11,11,11
12,FRUTIFICACAO,2025-05-15,2025-05-15,{},2025-05-15 19:36:16.819,12,12,12,12,12,12,12
13,MATURACAO,2025-05-15,2025-05-15,{},2025-05-15 19:36:58.769,13,13,13,13,13,13,13
14,CRESCIMENTO,2025-05-15,2025-05-15,{},2025-05-15 19:37:43.747,14,14,14,14,14,14,14
9,MATURACAO,2025-05-19,2025-05-15,{},2025-05-19 22:28:53.450,9,9,9,9,9,9,9
