"id","data_plantio","instrucoes","nome_cientifico","nome_popular","time_stamp","ciclo_entity_id","localizacao_entity_id"
1,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum baccatum,Pimenta Dedo de Moça,2025-05-15 19:25:02.968,1,4
2,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum annuum,Pimenta Cayene,2025-05-15 19:28:16.543,2,5
3,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum annuum,Pimenta Malaguetão,2025-05-15 19:28:58.393,3,6
4,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum chinense,Pimenta de Cheiro,2025-05-15 19:29:50.210,4,7
5,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum chinense,Pimenta de Cheiro Roxa,2025-05-15 19:30:18.157,5,8
6,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum baccatum,Pimenta Hungarian Wax,2025-05-15 19:30:55.588,6,9
7,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum chinense,Pimenta Bodinho,2025-05-15 19:31:34.142,7,1
8,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum frutescens,Pimenta Malagueta,2025-05-15 19:32:16.207,8,2
9,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum chinense,Pimenta Biquinho,2025-05-15 19:32:55.797,9,3
10,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum frutescens,Pimenta Malagueta,2025-05-15 19:34:31.196,10,10
11,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum chinense,Pimenta Bodinho,2025-05-15 19:35:13.193,11,11
12,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum baccatum,Pimenta Dedo de Moça,2025-05-15 19:35:54.064,12,12
13,2025-05-15,"Molhar 1x ao dia, local com sol",Solanum lycopersicum var. cerasiforme,Tomate Cereja,2025-05-15 19:36:33.205,13,13
14,2025-05-15,"Molhar 1x ao dia, local com sol",Capsicum chinense,Pimenta Biquinho,2025-05-15 19:37:29.390,14,14
15,2025-05-15,"Molhar 1x ao dia, local com sol",Cucumis melo,Melão,2025-05-15 19:37:59.916,15,15
